symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
JCI,2023-02-01,2023-Q1,0.0987,0.0228,0.8785,0.0759,0.8557,0.8919,0.1081,4390,6.0093,0.2322,12.1715,0
IRM,2021-05-06,2021-Q1,0.1004,0.0243,0.8753,0.0761,0.851,0.963,0.037,3160,6.2639,0.1507,9.18,1
CAG,2019-09-26,2020-Q1,0.1143,0.047,0.8387,0.0673,0.7917,0.7975,0.2025,4770,6.0543,0.2652,,1
AJG,2021-01-28,2020-Q4,0.0688,0.0278,0.9034,0.041,0.8756,0.7547,0.2453,4980,5.7195,0.2011,7.43,1
PGR,2022-05-03,2022-Q1,0.0651,0.027,0.9079,0.0381,0.8809,0.6667,0.3333,4307,5.6162,0.3194,1.19,0
TMO,2023-02-01,2022-Q4,0.1205,0.0701,0.8095,0.0504,0.7394,0.7792,0.2208,4177,6.2588,0.3211,1.7742,0
WFC,2021-07-14,2021-Q2,0.0868,0.0863,0.8269,0.0004,0.7406,0.5333,0.4667,5391,5.9366,0.3798,7.63,1
MTCH,2023-02-01,2022-Q4,0.0816,0.0408,0.8775,0.0408,0.8367,0.6418,0.3582,4292,5.8898,0.3379,3.08,0
ALLE,2020-04-23,2020-Q1,0.0731,0.0382,0.8887,0.0349,0.8505,0.7027,0.2973,4732,6.2048,0.8967,9.9019,1
PG,2020-07-30,2020-Q4,0.0764,0.0248,0.8987,0.0516,0.8739,0.8871,0.1129,4962,6.0155,0.1386,3.5,1
SBUX,2021-10-28,2021-Q4,0.1003,0.0212,0.8785,0.0791,0.8573,0.8876,0.1124,5478,6.3479,0.1507,-3.6729,0
MDT,2021-11-23,2022-Q2,0.1105,0.0273,0.8622,0.0832,0.8349,0.8507,0.1493,4756,5.9489,0.143,4.1485,0
T,2022-04-21,2022-Q1,0.0887,0.0231,0.8883,0.0656,0.8652,0.8333,0.1667,5014,5.8554,0.2947,-3.1891,1
T,2022-10-20,2022-Q3,0.1031,0.0208,0.8762,0.0823,0.8554,0.9375,0.0625,4696,5.8842,0.2716,-10.8622,1
AIZ,2021-05-05,2021-Q1,0.0931,0.0359,0.8709,0.0572,0.835,0.7966,0.2034,3769,6.1592,0.1262,-5.4,1
BAC,2021-07-14,2021-Q2,0.0814,0.0639,0.8547,0.0176,0.7908,0.6627,0.3373,4828,5.8459,0.2965,-4.9426,0
AMZN,2023-02-02,2022-Q4,0.0792,0.0251,0.8957,0.0541,0.8706,0.7391,0.2609,3333,5.9178,0.3624,-19.2205,0
TXN,2021-10-26,2021-Q3,0.057,0.0297,0.9133,0.0273,0.8836,0.5556,0.4444,2990,5.7639,0.2227,1.6484,0
TXN,2021-07-21,2021-Q2,0.0693,0.0233,0.9074,0.0459,0.8841,0.75,0.25,2507,5.6621,0.1671,-5.15,0
PYPL,2022-02-01,2021-Q4,0.0882,0.0299,0.882,0.0583,0.8521,0.7458,0.2542,3943,6.0378,0.3949,-7.74,0
CNC,2021-10-26,2021-Q3,0.0647,0.0255,0.9098,0.0392,0.8843,0.8182,0.1818,3668,6.1314,0.2686,-5.59,1
IEX,2022-02-02,2021-Q4,0.081,0.0285,0.8904,0.0525,0.8619,0.7344,0.2656,5457,5.8486,0.2218,1.2252,0
TSLA,2021-10-20,2021-Q3,0.0642,0.0268,0.909,0.0374,0.8822,0.8,0.2,4069,5.857,0.2507,6.8109,1
SPGI,2022-05-03,2022-Q1,0.0832,0.0894,0.8274,-0.0062,0.7442,0.6341,0.3659,6153,6.2194,0.2278,-4.16,0
KLAC,2022-07-28,2022-Q4,0.0828,0.0258,0.8914,0.057,0.8656,0.7895,0.2105,2770,6.1502,0.4936,0.8424,1
CI,2021-05-07,2021-Q1,0.0784,0.071,0.8506,0.0074,0.7796,0.8485,0.1515,5313,6.6734,0.2069,,1
